	Cases2003	Deaths2003	Cases2004	Deaths2004	Cases2005	Deaths2005	Cases2006	Deaths2006	Cases2007	Deaths2007	Cases2008	Deaths2008
Azerbaijan	0	0	0	0	0	0	8	5	0	0	0	0
Bangladesh	0	0	0	0	0	0	0	0	0	0	1	0
Cambodia	0	0	0	0	4	4	2	2	1	1	0	0
China	1	1	0	0	8	5	13	8	5	3	3	3
Djibouti	0	0	0	0	0	0	1	0	0	0	0	0
Egypt	0	0	0	0	0	0	18	10	25	9	7	3
Indonesia 	0	0	0	0	20	13	55	45	42	37	18	15
Iraq	0	0	0	0	0	0	3	2	0	0	0	0
LaoPeopleDemocraticRepublic	0	0	0	0	0	0	0	0	2	2	0	0
Myanmar	0	0	0	0	0	0	0	0	1	0	0	0
Nigeria	0	0	0	0	0	0	0	0	1	1	0	0
Pakistan	0	0	0	0	0	0	0	0	3	1	0	0
Thailand	0	0	17	12	5	2	3	3	0	0	0	0
Turkey	0	0	0	0	0	0	12	4	0	0	0	0
VietNam	3	3	29	20	61	19	0	0	8	5	5	5
